PaNr;Reihe;Blickrichtung;Tiefe;Bonitur;Datum;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBE;N-DÜNGUNG
20;2;1;45;1;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;50;0;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;55;1.5;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;60;0;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;65;2;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;70;2;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;75;1;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;80;0;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;85;0;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;90;0;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;95;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;100;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;105;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;110;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;115;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;120;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;5;0;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;10;1;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;2;15;3;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
