Datum;Variante;Rohr;Blickrichtung;Tiefe;Bonitur;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG
26.04.1995;55;2;1;105;0;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;110;0;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;115;0;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;120;0;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;5;0.5;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;10;0.5;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;15;1;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;20;0.5;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;25;0.5;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;30;1;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;35;0;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;40;0;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;45;0;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;2;50;0;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
